STATE,PROVINCE,CITY,BARANGAY,ZIP CODE
Metro Manila,NCR,Caloocan City,Barangay 14,1400
Metro Manila,NCR,Caloocan City,Barangay 140,1400
Metro Manila,NCR,Caloocan City,Barangay 141,1400
Metro Manila,NCR,Caloocan City,Barangay 142,1400
Metro Manila,NCR,Caloocan City,Barangay 143,1400
Metro Manila,NCR,Caloocan City,Barangay 144,1400
Metro Manila,NCR,Caloocan City,Barangay 145,1400
Metro Manila,NCR,Caloocan City,Barangay 146,1400
Metro Manila,NCR,Caloocan City,Barangay 147,1400
Metro Manila,NCR,Caloocan City,Barangay 148,1400
Metro Manila,NCR,Caloocan City,Barangay 149,1400
Metro Manila,NCR,Caloocan City,Barangay 15,1400
Metro Manila,NCR,Caloocan City,Barangay 150,1400
Metro Manila,NCR,Caloocan City,Barangay 151,1400
Metro Manila,NCR,Caloocan City,Barangay 152,1400
Metro Manila,NCR,Caloocan City,Barangay 153,1400
Metro Manila,NCR,Caloocan City,Barangay 154,1400
Metro Manila,NCR,Caloocan City,Barangay 155,1400
Metro Manila,NCR,Caloocan City,Barangay 156,1400
Metro Manila,NCR,Caloocan City,Barangay 157,1400
Metro Manila,NCR,Caloocan City,Barangay 158,1400
Metro Manila,NCR,Caloocan City,Barangay 159,1400
Metro Manila,NCR,Caloocan City,Barangay 16,1400
Metro Manila,NCR,Caloocan City,Barangay 160,1400
Metro Manila,NCR,Caloocan City,Barangay 161,1400
Metro Manila,NCR,Caloocan City,Barangay 162,1400
Metro Manila,NCR,Caloocan City,Barangay 163,1400
Metro Manila,NCR,Caloocan City,Barangay 164,1400
Metro Manila,NCR,Caloocan City,Barangay 165,1400
Metro Manila,NCR,Caloocan City,Barangay 166,1400
Metro Manila,NCR,Caloocan City,Barangay 167,1400
Metro Manila,NCR,Caloocan City,Barangay 168,1400
Metro Manila,NCR,Caloocan City,Barangay 169,1400
Metro Manila,NCR,Caloocan City,Barangay 17,1400
Metro Manila,NCR,Caloocan City,Barangay 170,1400
Metro Manila,NCR,Caloocan City,Barangay 171,1400
Metro Manila,NCR,Caloocan City,Barangay 172,1400
Metro Manila,NCR,Caloocan City,Barangay 173,1400
Metro Manila,NCR,Caloocan City,Barangay 174,1400
Metro Manila,NCR,Caloocan City,Barangay 175,1400
Metro Manila,NCR,Caloocan City,Barangay 176,1400
Metro Manila,NCR,Caloocan City,Barangay 177,1400
Metro Manila,NCR,Caloocan City,Barangay 178,1400
Metro Manila,NCR,Caloocan City,Barangay 179,1400
Metro Manila,NCR,Caloocan City,Barangay 18,1400
Metro Manila,NCR,Caloocan City,Barangay 180,1400
Metro Manila,NCR,Caloocan City,Barangay 181,1400
Metro Manila,NCR,Caloocan City,Barangay 182,1400
Metro Manila,NCR,Caloocan City,Barangay 183,1400
Metro Manila,NCR,Caloocan City,Barangay 184,1400
Metro Manila,NCR,Caloocan City,Barangay 185,1400
Metro Manila,NCR,Caloocan City,Barangay 186,1400
Metro Manila,NCR,Caloocan City,Barangay 187,1400
Metro Manila,NCR,Caloocan City,Barangay 188,1400
Metro Manila,NCR,Caloocan City,Barangay 19,1400
Metro Manila,NCR,Caloocan City,Barangay 2,1400
Metro Manila,NCR,Caloocan City,Barangay 20,1400
Metro Manila,NCR,Caloocan City,Barangay 21,1400
Metro Manila,NCR,Caloocan City,Barangay 22,1400
Metro Manila,NCR,Caloocan City,Barangay 23,1400
Metro Manila,NCR,Caloocan City,Barangay 24,1400
Metro Manila,NCR,Caloocan City,Barangay 25,1400
Metro Manila,NCR,Caloocan City,Barangay 26,1400
Metro Manila,NCR,Caloocan City,Barangay 27,1400
Metro Manila,NCR,Caloocan City,Barangay 28,1400
Metro Manila,NCR,Caloocan City,Barangay 29,1400
Metro Manila,NCR,Caloocan City,Barangay 3,1400
Metro Manila,NCR,Caloocan City,Barangay 30,1400
Metro Manila,NCR,Caloocan City,Barangay 31,1400
Metro Manila,NCR,Caloocan City,Barangay 32,1400
Metro Manila,NCR,Caloocan City,Barangay 33,1400
Metro Manila,NCR,Caloocan City,Barangay 34,1400
Metro Manila,NCR,Caloocan City,Barangay 35,1400
Metro Manila,NCR,Caloocan City,Barangay 36,1400
Metro Manila,NCR,Caloocan City,Barangay 37,1400
Metro Manila,NCR,Caloocan City,Barangay 38,1400
Metro Manila,NCR,Caloocan City,Barangay 39,1400
Metro Manila,NCR,Caloocan City,Barangay 4,1400
Metro Manila,NCR,Caloocan City,Barangay 40,1400
Metro Manila,NCR,Caloocan City,Barangay 41,1400
Metro Manila,NCR,Caloocan City,Barangay 42,1400
Metro Manila,NCR,Caloocan City,Barangay 43,1400
Metro Manila,NCR,Caloocan City,Barangay 44,1400
Metro Manila,NCR,Caloocan City,Barangay 45,1400
Metro Manila,NCR,Caloocan City,Barangay 46,1400
Metro Manila,NCR,Caloocan City,Barangay 47,1400
Metro Manila,NCR,Caloocan City,Barangay 48,1400
Metro Manila,NCR,Caloocan City,Barangay 49,1400
Metro Manila,NCR,Caloocan City,Barangay 5,1400
Metro Manila,NCR,Caloocan City,Barangay 50,1400
Metro Manila,NCR,Caloocan City,Barangay 51,1400
Metro Manila,NCR,Caloocan City,Barangay 52,1400
Metro Manila,NCR,Caloocan City,Barangay 53,1400
Metro Manila,NCR,Caloocan City,Barangay 54,1400
Metro Manila,NCR,Caloocan City,Barangay 55,1400
Metro Manila,NCR,Caloocan City,Barangay 56,1400
Metro Manila,NCR,Caloocan City,Barangay 57,1400
Metro Manila,NCR,Caloocan City,Barangay 58,1400
Metro Manila,NCR,Caloocan City,Barangay 59,1400
Metro Manila,NCR,Caloocan City,Barangay 6,1400
Metro Manila,NCR,Caloocan City,Barangay 60,1400
Metro Manila,NCR,Caloocan City,Barangay 61,1400
Metro Manila,NCR,Caloocan City,Barangay 62,1400
Metro Manila,NCR,Caloocan City,Barangay 63,1400
Metro Manila,NCR,Caloocan City,Barangay 64,1400
Metro Manila,NCR,Caloocan City,Barangay 65,1400
Metro Manila,NCR,Caloocan City,Barangay 66,1400
Metro Manila,NCR,Caloocan City,Barangay 67,1400
Metro Manila,NCR,Caloocan City,Barangay 68,1400
Metro Manila,NCR,Caloocan City,Barangay 69,1400
Metro Manila,NCR,Caloocan City,Barangay 7,1400
Metro Manila,NCR,Caloocan City,Barangay 70,1400
Metro Manila,NCR,Caloocan City,Barangay 71,1400
Metro Manila,NCR,Caloocan City,Barangay 72,1400
Metro Manila,NCR,Caloocan City,Barangay 73,1400
Metro Manila,NCR,Caloocan City,Barangay 74,1400
Metro Manila,NCR,Caloocan City,Barangay 75,1400
Metro Manila,NCR,Caloocan City,Barangay 76,1400
Metro Manila,NCR,Caloocan City,Barangay 77,1400
Metro Manila,NCR,Caloocan City,Barangay 78,1400
Metro Manila,NCR,Caloocan City,Barangay 79,1400
Metro Manila,NCR,Caloocan City,Barangay 8,1400
Metro Manila,NCR,Caloocan City,Barangay 80,1400
Metro Manila,NCR,Caloocan City,Barangay 81,1400
Metro Manila,NCR,Caloocan City,Barangay 82,1400
Metro Manila,NCR,Caloocan City,Barangay 83,1400
Metro Manila,NCR,Caloocan City,Barangay 84,1400
Metro Manila,NCR,Caloocan City,Barangay 85,1400
Metro Manila,NCR,Caloocan City,Barangay 86,1400
Metro Manila,NCR,Caloocan City,Barangay 87,1400
Metro Manila,NCR,Caloocan City,Barangay 88,1400
Metro Manila,NCR,Caloocan City,Barangay 89,1400
Metro Manila,NCR,Caloocan City,Barangay 9,1400
Metro Manila,NCR,Caloocan City,Barangay 90,1400
Metro Manila,NCR,Caloocan City,Barangay 91,1400
Metro Manila,NCR,Caloocan City,Barangay 92,1400
Metro Manila,NCR,Caloocan City,Barangay 93,1400
Metro Manila,NCR,Caloocan City,Barangay 94,1400
Metro Manila,NCR,Caloocan City,Barangay 95,1400
Metro Manila,NCR,Caloocan City,Barangay 96,1400
Metro Manila,NCR,Caloocan City,Barangay 97,1400
Metro Manila,NCR,Caloocan City,Barangay 98,1400
Metro Manila,NCR,Caloocan City,Barangay 99,1400
Metro Manila,NCR,Ermita,Barangay 659,1000
Metro Manila,NCR,Ermita,Barangay 659-A,1000
Metro Manila,NCR,Ermita,Barangay 660,1000
Metro Manila,NCR,Ermita,Barangay 660-A,1000
Metro Manila,NCR,Ermita,Barangay 661,1000
Metro Manila,NCR,Ermita,Barangay 663,1000
Metro Manila,NCR,Ermita,Barangay 663-A,1000
Metro Manila,NCR,Ermita,Barangay 664,1000
Metro Manila,NCR,Ermita,Barangay 666,1000
Metro Manila,NCR,Ermita,Barangay 667,1000
Metro Manila,NCR,Ermita,Barangay 668,1000
Metro Manila,NCR,Ermita,Barangay 669,1000
Metro Manila,NCR,Ermita,Barangay 670,1000
Metro Manila,NCR,Intramuros,Barangay 654,1002
Metro Manila,NCR,Intramuros,Barangay 655,1002
Metro Manila,NCR,Intramuros,Barangay 656,1002
Metro Manila,NCR,Intramuros,Barangay 657,1002
Metro Manila,NCR,Intramuros,Barangay 658,1002
Metro Manila,NCR,Las Piñas City,Almanza Dos,1740
Metro Manila,NCR,Las Piñas City,Almanza Uno,1740
Metro Manila,NCR,Las Piñas City,B. F. International Village,1740
Metro Manila,NCR,Las Piñas City,Daniel Fajardo,1740
Metro Manila,NCR,Las Piñas City,Elias Aldana,1740
Metro Manila,NCR,Las Piñas City,Ilaya,1740
Metro Manila,NCR,Las Piñas City,Manuyo Dos,1740
Metro Manila,NCR,Las Piñas City,Manuyo Uno,1740
Metro Manila,NCR,Las Piñas City,Pamplona Dos,1740
Metro Manila,NCR,Las Piñas City,Pamplona Tres,1740
Metro Manila,NCR,Las Piñas City,Pamplona Uno,1740
Metro Manila,NCR,Las Piñas City,Pilar,1740
Metro Manila,NCR,Las Piñas City,Pulang Lupa Dos,1740
Metro Manila,NCR,Las Piñas City,Pulang Lupa Uno,1740
Metro Manila,NCR,Las Piñas City,Talon Dos,1740
Metro Manila,NCR,Las Piñas City,Talon Kuatro,1740
Metro Manila,NCR,Las Piñas City,Talon Singko,1740
Metro Manila,NCR,Las Piñas City,Talon Tres,1740
Metro Manila,NCR,Las Piñas City,Talon Uno,1740
Metro Manila,NCR,Las Piñas City,Zapote,1740
Metro Manila,NCR,Makati City,Bangkal,1200
Metro Manila,NCR,Makati City,Bel-Air,1200
Metro Manila,NCR,Makati City,Carmona,1200
Metro Manila,NCR,Makati City,Cembo,1200
Metro Manila,NCR,Makati City,Comembo,1200
Metro Manila,NCR,Makati City,Dasmariñas,1200
Metro Manila,NCR,Makati City,East Rembo,1200
Metro Manila,NCR,Makati City,Forbes Park,1200
Metro Manila,NCR,Makati City,Guadalupe Nuevo,1200
Metro Manila,NCR,Makati City,Guadalupe Viejo,1200
Metro Manila,NCR,Makati City,Kasilawan,1200
Metro Manila,NCR,Makati City,La Paz,1200
Metro Manila,NCR,Makati City,Magallanes,1200
Metro Manila,NCR,Makati City,Olympia,1200
Metro Manila,NCR,Makati City,Palanan,1200
Metro Manila,NCR,Makati City,Pembo,1200
Metro Manila,NCR,Makati City,Pinagkaisahan,1200
Metro Manila,NCR,Makati City,Pio Del Pilar,1200
Metro Manila,NCR,Makati City,Pitogo,1200
Metro Manila,NCR,Makati City,Poblacion,1200
Metro Manila,NCR,Makati City,Post Proper Northside,1200
Metro Manila,NCR,Makati City,Post Proper Southside,1200
Metro Manila,NCR,Makati City,Rizal,1200
Metro Manila,NCR,Makati City,San Antonio,1200
Metro Manila,NCR,Makati City,San Isidro,1200
Metro Manila,NCR,Makati City,San Lorenzo,1200
Metro Manila,NCR,Makati City,Santa Cruz,1200
Metro Manila,NCR,Makati City,Singkamas,1200
Metro Manila,NCR,Makati City,South Cembo,1200
Metro Manila,NCR,Makati City,Tejeros,1200
Metro Manila,NCR,Makati City,Urdaneta,1200
Metro Manila,NCR,Makati City,Valenzuela,1200
Metro Manila,NCR,Makati City,West Rembo,1200
Metro Manila,NCR,Malabon City,Acacia,1409
Metro Manila,NCR,Malabon City,Baritan,1409
Metro Manila,NCR,Malabon City,Bayan-bayanan,1409
Metro Manila,NCR,Malabon City,Catmon,1409
Metro Manila,NCR,Malabon City,Concepcion,1409
Metro Manila,NCR,Malabon City,Dampalit,1409
Metro Manila,NCR,Malabon City,Flores,1409
Metro Manila,NCR,Malabon City,Hulong Duhat,1409
Metro Manila,NCR,Malabon City,Ibaba,1409
Metro Manila,NCR,Malabon City,Longos,1409
Metro Manila,NCR,Malabon City,Maysilo,1409
Metro Manila,NCR,Malabon City,Muzon,1409
Metro Manila,NCR,Malabon City,Niugan,1409
Metro Manila,NCR,Malabon City,Panghulo,1409
Metro Manila,NCR,Malabon City,Potrero,1409
Metro Manila,NCR,Malabon City,San Agustin,1409
Metro Manila,NCR,Malabon City,Santolan,1409
Metro Manila,NCR,Malabon City,Tañong,1409
Metro Manila,NCR,Malabon City,Tinajeros,1409
Metro Manila,NCR,Malabon City,Tonsuya,1409
Metro Manila,NCR,Malabon City,Tugatog,1409
Metro Manila,NCR,Malate,Barangay 688,1004
Metro Manila,NCR,Malate,Barangay 689,1004
Metro Manila,NCR,Malate,Barangay 690,1004
Metro Manila,NCR,Malate,Barangay 691,1004
Metro Manila,NCR,Malate,Barangay 692,1004
Metro Manila,NCR,Malate,Barangay 693,1004
Metro Manila,NCR,Malate,Barangay 694,1004
Metro Manila,NCR,Malate,Barangay 695,1004
Metro Manila,NCR,Malate,Barangay 696,1004
Metro Manila,NCR,Malate,Barangay 697,1004
Metro Manila,NCR,Malate,Barangay 698,1004
Metro Manila,NCR,Malate,Barangay 699,1004
Metro Manila,NCR,Malate,Barangay 700,1004
Metro Manila,NCR,Malate,Barangay 701,1004
Metro Manila,NCR,Malate,Barangay 702,1004
Metro Manila,NCR,Malate,Barangay 703,1004
Metro Manila,NCR,Malate,Barangay 704,1004
Metro Manila,NCR,Malate,Barangay 705,1004
Metro Manila,NCR,Malate,Barangay 706,1004
Metro Manila,NCR,Malate,Barangay 707,1004
Metro Manila,NCR,Malate,Barangay 708,1004
Metro Manila,NCR,Malate,Barangay 709,1004
Metro Manila,NCR,Malate,Barangay 710,1004
Metro Manila,NCR,Malate,Barangay 711,1004
Metro Manila,NCR,Malate,Barangay 712,1004
Metro Manila,NCR,Malate,Barangay 713,1004
Metro Manila,NCR,Malate,Barangay 714,1004
Metro Manila,NCR,Malate,Barangay 715,1004
Metro Manila,NCR,Malate,Barangay 716,1004
Metro Manila,NCR,Malate,Barangay 717,1004
Metro Manila,NCR,Malate,Barangay 718,1004
Metro Manila,NCR,Malate,Barangay 719,1004
Metro Manila,NCR,Malate,Barangay 720,1004
Metro Manila,NCR,Malate,Barangay 721,1004
Metro Manila,NCR,Malate,Barangay 722,1004
Metro Manila,NCR,Malate,Barangay 723,1004
Metro Manila,NCR,Malate,Barangay 724,1004
Metro Manila,NCR,Malate,Barangay 725,1004
Metro Manila,NCR,Malate,Barangay 726,1004
Metro Manila,NCR,Malate,Barangay 727,1004
Metro Manila,NCR,Malate,Barangay 728,1004
Metro Manila,NCR,Malate,Barangay 729,1004
Metro Manila,NCR,Malate,Barangay 730,1004
Metro Manila,NCR,Malate,Barangay 731,1004
Metro Manila,NCR,Malate,Barangay 732,1004
Metro Manila,NCR,Malate,Barangay 733,1004
Metro Manila,NCR,Malate,Barangay 734,1004
Metro Manila,NCR,Malate,Barangay 735,1004
Metro Manila,NCR,Malate,Barangay 736,1004
Metro Manila,NCR,Malate,Barangay 737,1004
Metro Manila,NCR,Malate,Barangay 738,1004
Metro Manila,NCR,Malate,Barangay 739,1004
Metro Manila,NCR,Malate,Barangay 740,1004
Metro Manila,NCR,Malate,Barangay 741,1004
Metro Manila,NCR,Malate,Barangay 742,1004
Metro Manila,NCR,Malate,Barangay 743,1004
Metro Manila,NCR,Malate,Barangay 744,1004
Metro Manila,NCR,Mandaluyong City,Addition Hills,1550
Metro Manila,NCR,Mandaluyong City,Bagong Silang,1550
Metro Manila,NCR,Mandaluyong City,Barangka Drive,1550
Metro Manila,NCR,Mandaluyong City,Barangka Ibaba,1550
Metro Manila,NCR,Mandaluyong City,Barangka Ilaya,1550
Metro Manila,NCR,Mandaluyong City,Barangka Itaas,1550
Metro Manila,NCR,Mandaluyong City,Buayang Bato,1550
Metro Manila,NCR,Mandaluyong City,Burol,1550
Metro Manila,NCR,Mandaluyong City,Daang Bakal,1550
Metro Manila,NCR,Mandaluyong City,Hagdang Bato Itaas,1550
Metro Manila,NCR,Mandaluyong City,Hagdang Bato Libis,1550
Metro Manila,NCR,Mandaluyong City,Harapin Ang Bukas,1550
Metro Manila,NCR,Mandaluyong City,Highway Hills,1550
Metro Manila,NCR,Mandaluyong City,Hulo,1550
Metro Manila,NCR,Mandaluyong City,Mabini-J. Rizal,1550
Metro Manila,NCR,Mandaluyong City,Malamig,1550
Metro Manila,NCR,Mandaluyong City,Mauway,1550
Metro Manila,NCR,Mandaluyong City,Namayan,1550
Metro Manila,NCR,Mandaluyong City,New Zañiga,1550
Metro Manila,NCR,Mandaluyong City,Old Zañiga,1550
Metro Manila,NCR,Mandaluyong City,Pag-asa,1550
Metro Manila,NCR,Mandaluyong City,Plainview,1550
Metro Manila,NCR,Mandaluyong City,Pleasant Hills,1550
Metro Manila,NCR,Mandaluyong City,Poblacion,1550
Metro Manila,NCR,Mandaluyong City,San Jose,1550
Metro Manila,NCR,Mandaluyong City,Vergara,1550
Metro Manila,NCR,Mandaluyong City,Wack-wack Greenhills,1550
Metro Manila,NCR,Marikina City,Barangka,1800
Metro Manila,NCR,Marikina City,Calumpang,1800
Metro Manila,NCR,Marikina City,Concepcion Dos,1800
Metro Manila,NCR,Marikina City,Concepcion Uno,1800
Metro Manila,NCR,Marikina City,Fortune,1800
Metro Manila,NCR,Marikina City,Industrial Valley,1800
Metro Manila,NCR,Marikina City,Jesus De La Peña,1800
Metro Manila,NCR,Marikina City,Malanday,1800
Metro Manila,NCR,Marikina City,Marikina Heights,1800
Metro Manila,NCR,Marikina City,Nangka,1800
Metro Manila,NCR,Marikina City,Parang,1800
Metro Manila,NCR,Marikina City,San Roque,1800
Metro Manila,NCR,Marikina City,Santa Elena,1800
Metro Manila,NCR,Marikina City,Santo Niño,1800
Metro Manila,NCR,Marikina City,Tañong,1800
Metro Manila,NCR,Marikina City,Tumana,1800
Metro Manila,NCR,Muntinlupa City,Alabang,1770
Metro Manila,NCR,Muntinlupa City,New Alabang Village,1770
Metro Manila,NCR,Muntinlupa City,Bayanan,1770
Metro Manila,NCR,Muntinlupa City,Buli,1770
Metro Manila,NCR,Muntinlupa City,Cupang,1770
Metro Manila,NCR,Muntinlupa City,Poblacion,1770
Metro Manila,NCR,Muntinlupa City,Putatan,1770
Metro Manila,NCR,Muntinlupa City,Sucat,1770
Metro Manila,NCR,Muntinlupa City,Tunasan,1770
Metro Manila,NCR,Navotas City,Bagumbayan North,1409
Metro Manila,NCR,Navotas City,Bagumbayan South,1409
Metro Manila,NCR,Navotas City,Bangculasi,1409
Metro Manila,NCR,Navotas City,Daanghari,1409
Metro Manila,NCR,Navotas City,Navotas East,1409
Metro Manila,NCR,Navotas City,Navotas West,1409
Metro Manila,NCR,Navotas City,"North Bay Blvd., North",1409
Metro Manila,NCR,Navotas City,San Jose,1409
Metro Manila,NCR,Navotas City,San Rafael Village,1409
Metro Manila,NCR,Navotas City,San Roque,1409
Metro Manila,NCR,Navotas City,Sipac-Almacen,1409
Metro Manila,NCR,Navotas City,Tangos,1409
Metro Manila,NCR,Navotas City,Tanza,1409
Metro Manila,NCR,Paco,Barangay 662,1007
Metro Manila,NCR,Paco,Barangay 664-A,1007
Metro Manila,NCR,Paco,Barangay 671,1007
Metro Manila,NCR,Paco,Barangay 672,1007
Metro Manila,NCR,Paco,Barangay 673,1007
Metro Manila,NCR,Paco,Barangay 674,1007
Metro Manila,NCR,Paco,Barangay 675,1007
Metro Manila,NCR,Paco,Barangay 676,1007
Metro Manila,NCR,Paco,Barangay 677,1007
Metro Manila,NCR,Paco,Barangay 678,1007
Metro Manila,NCR,Paco,Barangay 679,1007
Metro Manila,NCR,Paco,Barangay 680,1007
Metro Manila,NCR,Paco,Barangay 681,1007
Metro Manila,NCR,Paco,Barangay 682,1007
Metro Manila,NCR,Paco,Barangay 683,1007
Metro Manila,NCR,Paco,Barangay 684,1007
Metro Manila,NCR,Paco,Barangay 685,1007
Metro Manila,NCR,Paco,Barangay 686,1007
Metro Manila,NCR,Paco,Barangay 687,1007
Metro Manila,NCR,Paco,Barangay 809,1007
Metro Manila,NCR,Paco,Barangay 810,1007
Metro Manila,NCR,Paco,Barangay 811,1007
Metro Manila,NCR,Paco,Barangay 812,1007
Metro Manila,NCR,Paco,Barangay 813,1007
Metro Manila,NCR,Paco,Barangay 814,1007
Metro Manila,NCR,Paco,Barangay 815,1007
Metro Manila,NCR,Paco,Barangay 816,1007
Metro Manila,NCR,Paco,Barangay 817,1007
Metro Manila,NCR,Paco,Barangay 818,1007
Metro Manila,NCR,Paco,Barangay 819,1007
Metro Manila,NCR,Paco,Barangay 820,1007
Metro Manila,NCR,Paco,Barangay 821,1007
Metro Manila,NCR,Paco,Barangay 822,1007
Metro Manila,NCR,Paco,Barangay 823,1007
Metro Manila,NCR,Paco,Barangay 824,1007
Metro Manila,NCR,Paco,Barangay 825,1007
Metro Manila,NCR,Paco,Barangay 826,1007
Metro Manila,NCR,Paco,Barangay 827,1007
Metro Manila,NCR,Paco,Barangay 828,1007
Metro Manila,NCR,Paco,Barangay 829,1007
Metro Manila,NCR,Paco,Barangay 830,1007
Metro Manila,NCR,Paco,Barangay 831,1007
Metro Manila,NCR,Paco,Barangay 832,1007
Metro Manila,NCR,Pandacan,Barangay 833,1011
Metro Manila,NCR,Pandacan,Barangay 834,1011
Metro Manila,NCR,Pandacan,Barangay 835,1011
Metro Manila,NCR,Pandacan,Barangay 836,1011
Metro Manila,NCR,Pandacan,Barangay 837,1011
Metro Manila,NCR,Pandacan,Barangay 838,1011
Metro Manila,NCR,Pandacan,Barangay 839,1011
Metro Manila,NCR,Pandacan,Barangay 840,1011
Metro Manila,NCR,Pandacan,Barangay 841,1011
Metro Manila,NCR,Pandacan,Barangay 842,1011
Metro Manila,NCR,Pandacan,Barangay 843,1011
Metro Manila,NCR,Pandacan,Barangay 844,1011
Metro Manila,NCR,Pandacan,Barangay 845,1011
Metro Manila,NCR,Pandacan,Barangay 846,1011
Metro Manila,NCR,Pandacan,Barangay 847,1011
Metro Manila,NCR,Pandacan,Barangay 848,1011
Metro Manila,NCR,Pandacan,Barangay 849,1011
Metro Manila,NCR,Pandacan,Barangay 850,1011
Metro Manila,NCR,Pandacan,Barangay 851,1011
Metro Manila,NCR,Pandacan,Barangay 852,1011
Metro Manila,NCR,Pandacan,Barangay 853,1011
Metro Manila,NCR,Pandacan,Barangay 855,1011
Metro Manila,NCR,Pandacan,Barangay 856,1011
Metro Manila,NCR,Pandacan,Barangay 857,1011
Metro Manila,NCR,Pandacan,Barangay 858,1011
Metro Manila,NCR,Pandacan,Barangay 859,1011
Metro Manila,NCR,Pandacan,Barangay 860,1011
Metro Manila,NCR,Pandacan,Barangay 861,1011
Metro Manila,NCR,Pandacan,Barangay 862,1011
Metro Manila,NCR,Pandacan,Barangay 863,1011
Metro Manila,NCR,Pandacan,Barangay 864,1011
Metro Manila,NCR,Pandacan,Barangay 865,1011
Metro Manila,NCR,Pandacan,Barangay 867,1011
Metro Manila,NCR,Pandacan,Barangay 868,1011
Metro Manila,NCR,Pandacan,Barangay 869,1011
Metro Manila,NCR,Pandacan,Barangay 870,1011
Metro Manila,NCR,Pandacan,Barangay 871,1011
Metro Manila,NCR,Pandacan,Barangay 872,1011
Metro Manila,NCR,Parañaque City,B. F. Homes,1700
Metro Manila,NCR,Parañaque City,Baclaran,1700
Metro Manila,NCR,Parañaque City,Don Bosco,1700
Metro Manila,NCR,Parañaque City,Don Galo,1700
Metro Manila,NCR,Parañaque City,La Huerta,1700
Metro Manila,NCR,Parañaque City,Marcelo Green Village,1700
Metro Manila,NCR,Parañaque City,Merville,1700
Metro Manila,NCR,Parañaque City,Moonwalk,1700
Metro Manila,NCR,Parañaque City,San Antonio,1700
Metro Manila,NCR,Parañaque City,San Dionisio,1700
Metro Manila,NCR,Parañaque City,San Isidro,1700
Metro Manila,NCR,Parañaque City,San Martin De Porres,1700
Metro Manila,NCR,Parañaque City,Santo Niño,1700
Metro Manila,NCR,Parañaque City,Sun Valley,1700
Metro Manila,NCR,Parañaque City,Tambo,1700
Metro Manila,NCR,Parañaque City,Vitalez,1700
Metro Manila,NCR,Pasay City,Barangay 1,1300
Metro Manila,NCR,Pasay City,Barangay 10,1300
Metro Manila,NCR,Pasay City,Barangay 100,1300
Metro Manila,NCR,Pasay City,Barangay 101,1300
Metro Manila,NCR,Pasay City,Barangay 102,1300
